"treatment","I","gamma","m","lam","beta","stay","alpha"
2,2.795086525,4.846505625,1.1527803665,0.203540521,1.2532576885,0.3336529239,1.8006122
2,1.694295475,2.2912886515,1.1739078475,0.32983898175,1.1932422155,1.6008702595,1.8006122
2,3.845234985,3.44207395,1.178984515,0.23655387655,1.291378621,0.560322931,1.8006122
2,3.61392314,5.332355825,0.97775203,0.18241116671,1.0205588,0.9135591445,1.8006122
2,2.874559135,5.15502712,1.064637602,0.25506821785,1.1252551365,0.693046184,1.8006122
2,1.772069215,2.997590065,0.8468271355,0.3030625674,0.915387369,0.6694256875,1.8006122
2,0.907506764,1.6671838635,0.929694533,0.26905512305,1.117021536,0.879940607,1.8006122
2,1.99247505,4.508031235,1.061633374,0.2123763064,1.068983032,0.9796320625,1.8006122
2,4.27460124,4.84950911,1.007750526,0.21826223845,1.1455539035,1.1854206655,1.8006122
2,2.55643133,3.64333537,1.0826028155,0.129993294025,1.0597830175,0.591460603,1.8006122
2,0.813230531,2.82829853,1.207612984,0.2373830095,1.343161532,0.9531390255,1.8006122
2,2.061518285,3.87738818,1.06909259,0.3674653874,0.644774723,0.8125101085,1.8006122
2,2.149150875,2.22105132,1.070197763,0.26794988135,1.201447155,1.136448168,1.8006122
2,2.64322682,4.19382073,0.93579327,0.30868222705,0.857363858,0.5311095315,1.8006122
2,2.090399295,3.98976732,0.761869487,0.23174636135,0.866101579,0.6505323565,1.8006122
2,1.89788197,4.004832025,1.199070726,0.1675520819,0.999948092,0.792498074,1.8006122
2,3.238734765,5.207583915,1.0982795615,0.141603841145,1.1424388675,0.8509782845,1.8006122
2,2.03178537,3.08787537,1.0989005815,0.3109634258,1.251699511,1.076071676,1.8006122
2,2.453539785,4.24595604,1.2615035785,0.283137495,1.14140333,0.740507327,1.8006122
2,1.0663625105,1.233584617,1.0559062985,0.33277927495,1.2534379755,0.750883533,1.8006122
2,2.84452069,5.01945039,0.9847985065,0.156022392715,1.1687651945,1.2287942635,1.8006122
2,2.47230161,5.86691293,1.1366764395,0.16145940345,1.08715723,0.605854452,1.8006122
2,2.713493925,4.741275085,0.9347177505,0.2276487603,1.05089277,0.8380808485,1.8006122
2,2.47142076,4.575597325,0.8359643735,0.21924988365,1.038099316,0.833260717,1.8006122
2,0.78587497,1.5145176665,1.0106535345,0.208895977895,1.152815657,0.8740650365,1.8006122
2,3.10862294,3.50604039,0.9378356635,0.3024069747,0.836768623,0.794548505,1.8006122
2,0.716963333,3.35045747,0.9147300715,0.19463811755,1.353397086,0.8870465145,1.8006122
2,1.056106614,3.189342475,1.021373674,0.27814868545,1.307461608,1.2324802945,1.8006122
3,1.024534357,2.4716831875,0.8350046425,0.4145636705,0.5431548615,1.836747084,1.9571533
3,0.8638286175,1.4790072015,0.989002995,0.4051058708,0.7880379345,1.394305744,1.9571533
3,0.9496442595,1.5847723595,0.909898961,0.389651186665,0.8836905035,2.2340512075,1.9571533
3,3.56637363,2.6890500345,0.5681403855,0.5598899756,1.220464948,0.377096923,1.9571533
3,2.03435757,1.557303685,0.9782311375,0.6111607104,0.5974873145,0.902840955,1.9571533
3,2.818372365,1.7179189095,0.922453038,0.80119701715,0.49618366675,1.5454081275,1.9571533
3,2.6963194,3.401382965,0.775964981,0.4282577268,0.575224856,0.647439046,1.9571533
