"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"208",-5419.26,-0.610749,1.31906,2.76736,3.78853,2.99169,0.702144,1.43815,1,0,0,1,208,1,1
"209",-5430.45,-3.41582,1.31342,2.67956,3.85231,2.86155,0.704211,1.43137,1,0,0,1,209,1,1
"210",-5416.07,-2.12364,1.32662,2.97199,3.81348,3.14487,0.692089,1.42927,1,0,0,1,210,1,1
"211",-5415.65,-2.89552,1.31212,3.07181,3.75904,3.12989,0.706571,1.44808,1,0,0,1,211,1,1
"212",-5422.94,-3.98003,1.30222,2.58702,3.74009,2.9895,0.706239,1.41679,1,0,0,1,212,1,1
"213",-5419.2,-1.85887,1.33408,2.89693,3.73679,3.19379,0.709866,1.42982,1,0,0,1,213,1,1
"214",-5415.49,-3.24676,1.32227,2.53719,3.7134,2.98962,0.690125,1.44233,1,0,0,1,214,1,1
"215",-5427.9,-2.79115,1.32018,2.7737,3.75345,2.95738,0.703431,1.40774,1,0,0,1,215,1,1
"216",-5433.26,-10.1941,1.32986,2.18952,3.83976,3.20713,0.715328,1.41732,1,0,0,1,216,1,1
"217",-5413.01,-2.41286,1.31814,2.63722,3.77311,3.25313,0.70198,1.43933,1,0,0,1,217,1,1
"218",-5431.29,-3.28375,1.32388,2.98591,3.92715,3.10776,0.714459,1.41986,1,0,0,1,218,1,1
"219",-5422.33,-4.05584,1.34255,3.12031,3.69088,3.00983,0.705505,1.43835,1,0,0,1,219,1,1
"220",-5417.86,-2.93478,1.333,2.9545,3.67412,2.97321,0.705496,1.45016,1,0,0,1,220,1,1
"221",-5417.99,-1.45027,1.31221,2.92926,3.75762,2.97363,0.700027,1.4322,1,0,0,1,221,1,1
"222",-5428.22,-2.31353,1.32286,2.54694,3.84811,2.93914,0.702642,1.43146,1,0,0,1,222,1,1
"223",-5421.49,-7.53887,1.32601,3.05179,3.86012,3.00888,0.703969,1.47234,1,0,0,1,223,1,1
"224",-5417.77,-3.71185,1.33477,2.92089,3.69021,3.06372,0.711827,1.45642,1,0,0,1,224,1,1
"225",-5417.41,-5.42513,1.30603,2.65381,3.88622,3.29515,0.706068,1.42174,1,0,0,1,225,1,1
"226",-5413.73,-2.72111,1.31223,2.7484,3.56312,3.01528,0.70068,1.42781,1,0,0,1,226,1,1
"227",-5417.33,-2.40228,1.3305,3.13057,3.67234,3.08983,0.701185,1.43453,1,0,0,1,227,1,1
"228",-5425.61,-2.81502,1.3318,3.06373,3.89466,3.12991,0.708923,1.43012,1,0,0,1,228,1,1
"229",-5419.04,-2.89942,1.31377,2.72549,3.65808,2.9379,0.712042,1.44593,1,0,0,1,229,1,1
"230",-5413.28,-5.0237,1.32309,2.83884,3.5628,2.90313,0.695716,1.44982,1,0,0,1,230,1,1
"231",-5434.94,-5.55209,1.33905,2.65022,3.94927,2.99455,0.712678,1.45142,1,0,0,1,231,1,1
"232",-5424.19,-2.52299,1.32999,2.68192,3.88027,2.97433,0.693279,1.43078,1,0,0,1,232,1,1
