"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"134",-1065.89,-6.20525,1.77575,1.04618,0.411343,2.80367,0.53261,0.95778,1.46232,1,0,1,134,134
"135",-1025.68,-3.52196,1.77739,0.944306,0.34834,2.75088,0.595678,0.905961,1.48385,1,0,1,135,135
"136",-1024.11,-2.75296,1.78127,0.979661,0.428879,2.73237,0.628686,1.00704,1.46669,1,0,1,136,136
"137",-1026.86,-1.87368,1.79914,1.00576,0.357519,2.81443,0.622089,1.01688,1.47737,1,0,1,137,137
"138",-1028.48,-3.8375,1.82161,0.951659,0.391725,2.71243,0.58583,0.89386,1.50292,1,0,1,138,138
"139",-1023.63,-1.58021,1.80535,0.998748,0.345568,2.71758,0.646441,0.950974,1.50734,1,0,1,139,139
"140",-1029.51,-3.27678,1.80073,0.936667,0.383468,2.66181,0.646634,0.959123,1.46558,1,0,1,140,140
"141",-1023.07,-2.16945,1.83436,1.0051,0.292383,2.69726,0.604639,0.957975,1.46308,1,0,1,141,141
"142",-1023.25,-2.11035,1.84167,1.0093,0.400769,2.74089,0.620151,1.00619,1.49271,1,0,1,142,142
"143",-1024.34,-1.82231,1.83362,1.03027,0.336698,2.77667,0.653053,0.951612,1.46475,1,0,1,143,143
"144",-1023.85,-4.47247,1.758,1.03258,0.35168,2.6286,0.594974,0.927333,1.44795,1,0,1,144,144
"145",-1024.92,-3.78735,1.80544,0.960187,0.354096,2.78609,0.546145,0.93232,1.44584,1,0,1,145,145
"146",-1027.43,-3.0675,1.81919,0.948056,0.411808,2.74223,0.60877,0.899477,1.47796,1,0,1,146,146
"147",-1059.74,-3.92362,1.76616,1.03301,0.424062,2.78739,0.594095,0.919204,1.45926,1,0,1,147,147
"148",-1022.68,-1.22868,1.82293,1.01628,0.335596,2.7078,0.636103,0.985393,1.48774,1,0,1,148,148
"149",-1024.04,-4.24507,1.81148,0.994885,0.403037,2.79032,0.697164,1.0183,1.47163,1,0,1,149,149
"150",-1023.49,-3.06563,1.7941,1.03428,0.404588,2.63007,0.600556,0.987548,1.49024,1,0,1,150,150
"151",-1025.63,-4.33728,1.78175,0.958803,0.417407,2.77899,0.605254,0.908051,1.43386,1,0,1,151,151
"152",-1022.96,-2.91987,1.78489,1.02187,0.336982,2.6184,0.613272,0.998679,1.45896,1,0,1,152,152
"153",-1023.96,-1.95535,1.8079,0.987335,0.30481,2.65642,0.630074,0.976037,1.48065,1,0,1,153,153
"154",-1024.43,-2.65737,1.7854,1.01125,0.397022,2.60727,0.630351,0.958789,1.45496,1,0,1,154,154
"155",-1028.22,-4.31119,1.80173,0.973058,0.31686,2.55496,0.606876,0.918999,1.47674,1,0,1,155,155
"156",-1021.78,-0.512503,1.81667,1.00516,0.376733,2.74222,0.633967,0.954706,1.48909,1,0,1,156,156
"157",-1025.78,-1.69204,1.81532,0.991505,0.350733,2.66091,0.664449,0.926239,1.47263,1,0,1,157,157
"158",-1026.52,-3.56383,1.7907,0.930937,0.383391,2.74588,0.64346,0.944468,1.48486,1,0,1,158,158
"159",-1023.5,-1.42523,1.8315,1.0111,0.403683,2.69763,0.594978,0.919108,1.46678,1,0,1,159,159
"160",-1022.98,-1.34595,1.81816,0.967538,0.400661,2.78827,0.625569,0.937574,1.46148,1,0,1,160,160
"161",-1027.72,-2.15647,1.83689,0.984702,0.411042,2.65107,0.635351,0.919281,1.47088,1,0,1,161,161
"162",-1029.08,-4.0958,1.85081,0.951608,0.339258,2.75428,0.66486,0.928814,1.44289,1,0,1,162,162
"163",-1028.47,-2.44563,1.82545,0.965317,0.435852,2.66606,0.611379,0.974122,1.47781,1,0,1,163,163
"164",-1026.8,-2.02248,1.77844,1.00441,0.342321,2.76944,0.617376,1.01125,1.48165,1,0,1,164,164
"165",-1060.37,-10.9731,1.74477,1.07317,0.484047,2.82244,0.633009,0.903408,1.45407,1,0,1,165,165
"166",-1066.51,-7.43115,1.81699,1.00267,0.302772,2.85203,0.528421,0.879704,1.47365,1,0,1,166,166
"167",-1022.96,-1.45048,1.81702,1.01039,0.348902,2.64784,0.61919,0.987589,1.49103,1,0,1,167,167
"168",-1059.97,-4.86942,1.79359,1.06224,0.386632,2.76617,0.565243,0.899262,1.46223,1,0,1,168,168
"169",-1024.48,-2.86185,1.84859,0.968986,0.313068,2.71384,0.583181,0.99438,1.46575,1,0,1,169,169
"170",-1025.16,-2.31117,1.79406,0.966498,0.36395,2.68593,0.596156,0.905087,1.44948,1,0,1,170,170
"171",-1021.87,-0.985666,1.81665,0.996174,0.394312,2.77657,0.646098,0.930413,1.47313,1,0,1,171,171
"172",-1032.49,-6.77034,1.84089,0.927174,0.351215,2.75555,0.645546,1.01031,1.4241,1,0,1,172,172
"173",-1023.59,-1.99112,1.82918,0.979006,0.379982,2.84951,0.586573,0.951978,1.48901,1,0,1,173,173
"174",-1032.45,-6.71115,1.82521,1.02578,0.378407,2.77227,0.521013,0.879351,1.48443,1,0,1,174,174
"175",-1022.81,-0.967643,1.78847,0.999097,0.381433,2.70503,0.590728,0.9296,1.47497,1,0,1,175,175
"176",-1022.61,-1.08307,1.82666,0.986777,0.335567,2.7697,0.628707,0.929905,1.45215,1,0,1,176,176
"177",-1025.36,-4.689,1.82,0.969797,0.354757,2.81235,0.587874,0.993449,1.4135,1,0,1,177,177
"178",-1022.64,-1.36215,1.81554,1.00397,0.35407,2.77447,0.602618,1.00688,1.45267,1,0,1,178,178
"179",-1022.04,-2.01718,1.82531,0.979119,0.378546,2.83426,0.65859,0.933076,1.4774,1,0,1,179,179
"180",-1026.57,-4.30738,1.79428,0.993103,0.37765,2.79583,0.595473,1.06683,1.46311,1,0,1,180,180
"181",-1025.28,-4.34409,1.8501,1.04968,0.377012,2.6554,0.636183,1.01656,1.46088,1,0,1,181,181
"182",-1023.93,-2.02002,1.81224,0.993527,0.364383,2.73049,0.658073,0.944356,1.51108,1,0,1,182,182
"183",-1023.12,-2.12144,1.7754,0.96632,0.32938,2.74399,0.593339,0.932748,1.4635,1,0,1,183,183
"184",-1023.57,-3.23519,1.81742,1.01952,0.357734,2.58233,0.572591,0.970154,1.48454,1,0,1,184,184
"185",-1027.66,-8.51056,1.80232,0.994257,0.405355,2.83381,0.631619,0.946855,1.38358,1,0,1,185,185
