"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"152","lam[11]",0.5529479107,0.4374875,0.417251519786122,0.2763447792,0.14867525,1.3693085,0.999767186681733,1870.88877175406,1675.2457325059
"153","lam[12]",0.5112720927,0.4510985,0.276198629011071,0.2178028356,0.1974214,0.9923517,1.0007047440372,1935.15018245145,1827.45790498755
"154","lam[13]",0.768727012,0.733566,0.253508339784667,0.245978166,0.42760535,1.228837,0.999786579606369,2034.08939180727,1890.9935019116
"155","lam[14]",0.2343338502,0.153947,0.25887378275365,0.13093085229,0.03295871,0.69611715,0.99991892718985,2095.31582758087,1962.73343888589
"156","lam[15]",0.24962745445,0.186497,0.224368401081742,0.13347684714,0.051537975,0.641340649999999,0.999761419195372,1965.82953777139,1767.74590778416
"157","lam[16]",0.57455714195,0.4980125,0.34234011615096,0.2633683227,0.2121728,1.164029,1.00213261674427,1812.67262922377,1867.36924783747
"158","lam[17]",0.5302897565,0.486677,0.21565818722161,0.1798593951,0.2596125,0.93546045,1.00006710262004,1946.10929425508,1897.76322929024
"159","lam[18]",0.2665486889,0.188754,0.266795338080432,0.14670556803,0.04514543,0.75450785,1.00138027734715,1867.36804181873,2012.3402948107
"160","lam[19]",0.198776823,0.1460095,0.178826267711567,0.10769598987,0.040420595,0.5136191,0.999877573094594,1873.66245710619,1954.44033871339
"161","lam[20]",0.3392708771,0.2700985,0.263827295443227,0.1834361676,0.086793105,0.83708525,1.001103388404,2058.47744312168,1929.26023909047
"162","lam[21]",0.3415845213,0.320654,0.140527172644754,0.1235183712,0.16079765,0.59575135,1.00256891209249,2042.44415883589,1842.41148859653
"163","lam[22]",0.52843721615,0.4253275,0.37898384408095,0.264065886,0.14628635,1.2564385,1.00169450434636,1892.93826966758,1887.42695166365
"164","lam[23]",0.30630212945,0.2313745,0.270161144236585,0.1635923079,0.065899305,0.8276694,0.999830324768846,1897.44231561091,1883.02107076623
"165","lam[24]",0.6836300105,0.602266,0.371346219551838,0.2985496794,0.23763565,1.41112,1.0001785866005,2085.13230834784,1962.8137738422
"166","lam[25]",0.5080761144,0.423262,0.326690361458097,0.2499174342,0.15254555,1.162362,0.999593958364806,1862.25064849032,1759.55167026033
"167","lam[26]",0.4048868176,0.320409,0.329272911432822,0.2122393791,0.096022765,0.99690775,1.00135824378014,1779.24004848059,1726.64131643548
"168","lam[27]",0.20634601789,0.1336885,0.230898051124215,0.11222607417,0.030134215,0.61293915,1.00211945343722,2025.65200095635,1998.34698056664
"169","lam[28]",0.35470921345,0.25274,0.347113372337919,0.1890974757,0.06352792,0.9316593,1.0003848268287,1890.0566763572,1848.25244668759
"170","lam[29]",0.46388771535,0.378028,0.335581928911548,0.238706013,0.1244754,1.096659,0.999823052122388,1867.92752171899,2002.11038000361
"171","lam[30]",0.50281122825,0.441328,0.290664423090856,0.2254523103,0.17608165,1.0495985,1.00127819141937,1950.11366570945,1804.83316531583
"172","lam[31]",0.4077939869,0.350146,0.230972964005477,0.1781892462,0.14783545,0.8712377,1.00011537514399,1837.3450884969,1846.53084999724
"173","lam[32]",0.8004348185,0.720195,0.384033472505942,0.3173698038,0.3457331,1.5536485,1.00059249962137,2121.37399239113,2004.22343020712
"174","lam[33]",0.4169223108,0.377951,0.198684926137488,0.1699711944,0.17301835,0.78908485,0.999548396157998,1857.51235830559,1729.18409553572
"175","lam[34]",0.5609082925,0.4713345,0.363080334139314,0.2572192392,0.17773605,1.2322645,0.999986075551499,2040.41765458131,1920.69134210722
"176","lam[35]",0.26507797975,0.1971425,0.23851760895516,0.1441835913,0.05570099,0.73437335,0.99976258715438,1837.81426089827,1868.55112562515
"177","lam[36]",0.2054271982,0.1914785,0.0784513739245701,0.0687896748,0.10525855,0.35406755,1.00164256271549,1748.60554168855,1834.85830723799
"178","lam[37]",0.504936084,0.4446435,0.268685150341611,0.2071451655,0.2023024,1.0259195,1.00035616062662,2063.85630518374,1957.66794381694
"179","lam[38]",0.4903904267,0.3874855,0.376586628020145,0.2471360766,0.1311679,1.1896085,1.00059265935867,2056.66506866403,1728.76148115077
"180","lam[39]",0.3812022933,0.3395055,0.193032019709038,0.1633143204,0.1533664,0.7644979,0.999533103719868,2038.34003792791,1679.42338663855
"181","lam[40]",0.5780505082,0.479623,0.3583838392652,0.2588056212,0.199251,1.288105,0.99959556409329,1931.72745425524,1775.29886876256
"182","lam[41]",0.8102037445,0.7603345,0.289676918790152,0.257216274,0.4407943,1.37638,1.00081602306006,2021.93396213476,1822.52195926471
"183","lam[42]",0.39479673885,0.32785,0.253562172200586,0.1915385766,0.1182678,0.8839862,1.00035164891937,1849.02587862534,2091.66792589589
"184","lam[43]",0.35912747985,0.266739,0.321663461038414,0.1954385559,0.071584465,0.9795959,0.999755855096374,2129.48272277551,1980.42404926134
"185","lam[44]",0.4931074725,0.394168,0.366397344537516,0.2602089021,0.1292008,1.194447,0.999983642546529,1762.14050371867,1824.86824408888
"186","lam[45]",0.5189603333,0.432132,0.341453003311685,0.2550079413,0.1572261,1.148078,1.00021791045913,1955.83907974822,1953.96873836769
"187","lam[46]",0.27042632115,0.195689,0.249316549614776,0.1389900435,0.056948865,0.71003735,1.00012006671636,1854.07162627744,1751.5593972801
"188","lam[47]",0.606175937,0.572,0.217697257028794,0.2028011475,0.32148125,1.0087225,0.999656161139723,1787.36627741416,2045.99109753231
"189","lam[48]",0.673886661,0.6166345,0.325899061056307,0.2656129791,0.2859182,1.259915,0.999627439866351,1999.88157159089,2009.27682336307
"190","lam[49]",0.46248577455,0.37553,0.32564635933559,0.2319201528,0.13000795,1.081436,0.999577252554946,1953.03226937199,1832.30168020355
"191","lam[50]",0.36135844875,0.2524105,0.368595017111033,0.2014749618,0.06081101,1.0438455,1.00028332944887,1984.26588364471,1663.37880653051
"192","lam[51]",0.744620271,0.647339,0.40010584059906,0.3177678819,0.28919635,1.550785,0.999889075288542,2051.10836563732,1881.26310942459
"193","lam[52]",0.6894179374,0.572262,0.440761572417562,0.3221459997,0.22770225,1.546122,1.00156771630056,1665.64937151246,1787.96704995026
"194","lam[53]",0.5851665745,0.48706,0.387194247219488,0.2790979674,0.18391155,1.3196735,1.00008379738159,2031.53226814983,1920.33979309389
"195","lam[54]",0.7847930485,0.7463035,0.250440443310816,0.2242973649,0.45409385,1.2464625,1.00074603863001,2113.51579650069,1869.36926630877
