# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-09-26 14:08:15 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/standata-25d450cd851.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/init-1-25d4288a429e.json
# random
#   seed = 274815519
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/fit_gen_chiffre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,-457.973,-1.38589,1.44646,0.982424,0.282247,2.72558,1.44574,1.39665,1,0,0
0,-466.311,-5.025,1.47349,1.00036,0.205007,2.76172,1.29299,1.34854,1,0,0
0,-460.538,-3.30138,1.41429,0.946818,0.265312,2.55323,1.58061,1.35242,1,0,0
0,-461.748,-4.18516,1.543,0.964664,0.265213,2.60576,1.54611,1.39099,1,0,0
0,-463.865,-6.40803,1.48983,1.11829,0.29748,2.78866,1.60774,1.31054,1,0,0
0,-457.513,-0.809198,1.45464,0.993206,0.299705,2.68408,1.45929,1.34988,1,0,0
0,-458.408,-3.32531,1.41905,0.975735,0.275962,2.79198,1.62963,1.38827,1,0,0
0,-456.647,-1.43274,1.46732,1.05652,0.299661,2.73354,1.48281,1.37075,1,0,0
0,-459.389,-2.8984,1.41441,0.980953,0.308178,2.63775,1.4509,1.332,1,0,0
0,-459.348,-1.25602,1.49393,0.965495,0.24552,2.61743,1.52507,1.38109,1,0,0
0,-457.674,-1.59269,1.44325,1.01103,0.283904,2.55707,1.54956,1.37514,1,0,0
0,-460.688,-3.53116,1.43848,1.13332,0.255742,2.63561,1.49238,1.36719,1,0,0
0,-459.695,-3.23477,1.46606,0.964607,0.195427,2.73804,1.57844,1.34738,1,0,0
0,-459.246,-2.54197,1.48273,1.00813,0.282034,2.56672,1.40419,1.40078,1,0,0
0,-459,-3.97043,1.40576,1.07415,0.246647,2.57574,1.55533,1.33829,1,0,0
0,-460.295,-2.89321,1.44912,1.03881,0.27023,2.63597,1.32747,1.33413,1,0,0
0,-463.576,-3.39041,1.42985,0.922535,0.256423,2.5458,1.47494,1.38364,1,0,0
0,-460.022,-1.71873,1.46905,1.00996,0.249195,2.56509,1.38784,1.36851,1,0,0
0,-463.263,-3.33519,1.44276,0.947228,0.194395,2.68663,1.46809,1.34893,1,0,0
0,-458.097,-2.47664,1.4291,0.999367,0.278528,2.66337,1.68677,1.37737,1,0,0
0,-457.626,-2.34615,1.45309,1.07953,0.233824,2.56789,1.49718,1.35432,1,0,0
0,-459.14,-2.0764,1.47298,0.972984,0.20636,2.62107,1.56562,1.36674,1,0,0
0,-463.118,-3.12223,1.45574,0.943239,0.208792,2.55786,1.50511,1.3503,1,0,0
0,-460.44,-1.41938,1.49435,0.969644,0.244847,2.6154,1.54545,1.34075,1,0,0
0,-460.576,-2.98934,1.3986,1.02411,0.263181,2.66956,1.50568,1.39895,1,0,0
0,-461.066,-5.79498,1.52044,0.930206,0.273876,2.68586,1.75679,1.3687,1,0,0
0,-462.499,-2.40928,1.47518,0.990705,0.253961,2.60161,1.32856,1.35262,1,0,0
0,-459.073,-3.14416,1.40694,0.991148,0.303277,2.71233,1.48733,1.39948,1,0,0
0,-465.019,-5.33478,1.49101,1.10046,0.250422,2.88274,1.5524,1.34682,1,0,0
0,-457.023,-2.06127,1.49191,0.971856,0.236346,2.71975,1.61626,1.39061,1,0,0
0,-459.885,-6.10293,1.49254,1.03272,0.309801,2.87191,1.48998,1.30393,1,0,0
0,-457.813,-1.47438,1.49283,0.98968,0.221833,2.67295,1.58151,1.36231,1,0,0
0,-456.986,-0.5955,1.46319,1.01121,0.281862,2.61581,1.50727,1.3806,1,0,0
0,-456.946,-1.19491,1.45979,1.00903,0.26696,2.75172,1.54168,1.39779,1,0,0
0,-457.349,-1.75394,1.43661,0.984222,0.31788,2.6972,1.46141,1.37747,1,0,0
0,-463.685,-4.76937,1.45518,1.02822,0.330317,2.65147,1.75721,1.35871,1,0,0
0,-458.223,-1.80849,1.49961,1.01166,0.260916,2.6708,1.62609,1.33814,1,0,0
0,-464.753,-4.64642,1.39817,0.947114,0.221053,2.74394,1.46914,1.39848,1,0,0
0,-458.207,-2.75741,1.49527,1.04619,0.256813,2.51613,1.5286,1.367,1,0,0
0,-461.178,-5.44957,1.37601,1.0455,0.299696,2.64267,1.41647,1.3665,1,0,0
0,-459.297,-1.62626,1.48882,1.00292,0.22624,2.5736,1.48361,1.37136,1,0,0
0,-458.672,-1.53661,1.45095,0.978746,0.269363,2.57146,1.51897,1.39512,1,0,0
0,-458.795,-2.47112,1.46389,0.952161,0.322926,2.68775,1.44064,1.39177,1,0,0
0,-458.752,-1.86311,1.49025,1.0282,0.212972,2.62009,1.47562,1.3709,1,0,0
0,-458.063,-1.06596,1.45244,0.968024,0.256475,2.73375,1.5377,1.33529,1,0,0
0,-462.055,-2.53959,1.51227,0.98973,0.238276,2.65305,1.49951,1.32012,1,0,0
0,-457.442,-1.70388,1.44391,1.00898,0.257659,2.64631,1.64563,1.33577,1,0,0
0,-467.032,-4.73531,1.47042,0.949766,0.295205,2.57327,1.39761,1.3007,1,0,0
0,-469.532,-7.26765,1.43113,0.924557,0.259276,2.51315,1.30097,1.40599,1,0,0
0,-457.185,-0.868715,1.47126,1.03803,0.243358,2.59623,1.51921,1.35771,1,0,0
0,-458.945,-3.31969,1.48621,0.958762,0.326263,2.6743,1.4711,1.41038,1,0,0
0,-462.081,-3.17493,1.4154,0.920451,0.243189,2.60594,1.53536,1.35323,1,0,0
0,-458.898,-1.1936,1.42013,1.00208,0.253979,2.65915,1.46127,1.37778,1,0,0
0,-457.456,-1.42313,1.47932,1.00507,0.284707,2.60357,1.59229,1.38689,1,0,0
0,-461.258,-4.02406,1.45193,0.96656,0.321121,2.53473,1.6465,1.37538,1,0,0
0,-461.914,-5.51975,1.37936,0.983278,0.296716,2.74354,1.54414,1.40216,1,0,0
0,-464.297,-4.54239,1.40814,1.09805,0.267388,2.67038,1.62849,1.39134,1,0,0
0,-462.585,-3.29396,1.4042,0.982603,0.220839,2.70863,1.49346,1.39598,1,0,0
0,-459.756,-1.64851,1.47546,0.998581,0.295997,2.63884,1.47917,1.32193,1,0,0
0,-461.719,-1.7848,1.46856,0.918137,0.269067,2.68696,1.48489,1.34576,1,0,0
0,-465.304,-2.99995,1.4476,0.935685,0.221926,2.67253,1.36365,1.35021,1,0,0
0,-460.652,-1.98964,1.43509,1.07972,0.251678,2.71286,1.43011,1.36567,1,0,0
0,-457.227,-0.788974,1.44734,0.982158,0.284303,2.72611,1.5097,1.34558,1,0,0
0,-464.602,-3.33971,1.49501,0.948662,0.277802,2.52008,1.41915,1.36584,1,0,0
0,-459.927,-3.69701,1.47386,0.977329,0.25755,2.88414,1.43001,1.33857,1,0,0
0,-461.526,-2.82205,1.4705,0.930947,0.273899,2.54787,1.57822,1.38245,1,0,0
0,-457.446,-0.71987,1.44235,1.02476,0.255454,2.64671,1.5179,1.33958,1,0,0
0,-460.289,-1.54389,1.46131,0.975246,0.266011,2.68211,1.4725,1.31585,1,0,0
0,-458.767,-1.30356,1.44578,1.03394,0.233588,2.62918,1.45912,1.33739,1,0,0
0,-461.723,-3.53254,1.48377,0.95486,0.303979,2.65439,1.34275,1.39659,1,0,0
0,-458.437,-1.71191,1.4312,0.99514,0.283283,2.57686,1.48146,1.38634,1,0,0
0,-461.692,-1.23902,1.46017,0.960773,0.240993,2.60548,1.42746,1.35165,1,0,0
0,-457.645,-0.436921,1.44775,0.97049,0.267729,2.68425,1.52871,1.35376,1,0,0
0,-458.463,-0.975697,1.43688,1.01635,0.253394,2.61078,1.44655,1.34943,1,0,0
0,-463.645,-3.78539,1.4849,0.955862,0.283658,2.73592,1.36789,1.31213,1,0,0
0,-460.671,-5.43928,1.44183,0.926778,0.231548,2.8606,1.56149,1.31874,1,0,0
0,-456.916,-0.37159,1.4789,1.00256,0.253992,2.72588,1.50578,1.37174,1,0,0
0,-461.849,-3.62804,1.4508,1.03947,0.240062,2.59733,1.33698,1.32192,1,0,0
0,-457.304,-2.36851,1.45554,0.947624,0.239468,2.79395,1.60757,1.36708,1,0,0
0,-464.748,-4.24747,1.40893,0.922258,0.211799,2.69118,1.4546,1.35393,1,0,0
0,-464.113,-6.55626,1.45492,1.03031,0.232154,2.86872,1.71272,1.41436,1,0,0
0,-462.496,-3.06091,1.44751,1.00573,0.222445,2.85962,1.48623,1.36042,1,0,0
0,-463.205,-3.47109,1.45236,1.0956,0.262025,2.77609,1.42788,1.3999,1,0,0
0,-458.025,-0.732768,1.45586,1.02533,0.262416,2.62438,1.45272,1.34114,1,0,0
0,-458.544,-1.92789,1.48948,0.969366,0.23927,2.77885,1.54464,1.33908,1,0,0
0,-456.757,-1.02528,1.48249,1.00324,0.264225,2.76162,1.56446,1.3497,1,0,0
0,-459.774,-1.03604,1.46456,0.986823,0.260924,2.56544,1.46131,1.35318,1,0,0
0,-468.82,-5.14542,1.41491,1.02642,0.225838,2.8123,1.50203,1.42385,1,0,0
0,-463.794,-3.29086,1.42484,0.946892,0.243743,2.73348,1.36686,1.39121,1,0,0
0,-459.478,-1.76002,1.50441,0.960661,0.242552,2.62773,1.56389,1.37661,1,0,0
0,-460.399,-1.9699,1.47798,0.962952,0.264084,2.74558,1.47079,1.3195,1,0,0
0,-458.611,-1.63828,1.47113,1.05431,0.253017,2.62594,1.44153,1.32922,1,0,0
0,-460.628,-0.979778,1.47617,0.969615,0.256423,2.68014,1.40414,1.34972,1,0,0
0,-460.291,-4.11295,1.48356,0.999851,0.20908,2.68726,1.51161,1.43233,1,0,0
0,-458.809,-2.61852,1.45091,1.00357,0.332627,2.59255,1.41845,1.35542,1,0,0
0,-460.026,-1.84521,1.51679,0.972216,0.269818,2.6443,1.47393,1.37838,1,0,0
0,-458.994,-3.42214,1.53713,1.01588,0.257304,2.69306,1.45409,1.39597,1,0,0
0,-456.41,-0.537171,1.46584,1.03302,0.279211,2.72398,1.51584,1.36879,1,0,0
0,-459.33,-1.9832,1.50121,0.946974,0.282845,2.71795,1.56695,1.35049,1,0,0
0,-461.545,-3.76904,1.39283,1.02782,0.28034,2.75066,1.42523,1.34773,1,0,0
0,-461.884,-2.02862,1.44983,0.976787,0.246858,2.63872,1.35259,1.38612,1,0,0
0,-459.617,-1.72648,1.471,0.968588,0.280273,2.54898,1.55431,1.3736,1,0,0
0,-464.662,-4.04942,1.4028,0.998455,0.244335,2.70344,1.32363,1.365,1,0,0
0,-466.515,-4.08318,1.50963,0.96093,0.272824,2.55989,1.34949,1.34168,1,0,0
0,-458.221,-1.93796,1.42764,1.03019,0.221043,2.64242,1.57698,1.37377,1,0,0
0,-465.027,-2.80655,1.47377,0.899308,0.239676,2.64013,1.45558,1.36879,1,0,0
0,-457.671,-0.883704,1.47952,1.00896,0.223962,2.68611,1.54068,1.35478,1,0,0
0,-460.22,-2.33449,1.47836,1.00379,0.210494,2.74516,1.49415,1.33002,1,0,0
